ID	ImageNum	Title	Filename	OriginalFilename	Author	Year1stPub	BildSource	Caption	ELibrary	CXDatabase	SourcesDB	Ullibrary	Nix	Marked	Publishist	Format	SoFRefID	SoFDate
1	BL0001	Baby Porcupines	BL0001-BabyPorcuplines					Baby Porcupines								PHO		
2	BL0002	Chicken and Egg	BL0002-ChickenEgg					Chicken and Egg								PHO		
3	BL0003	Ducklings	BL0003-Ducklings					Ducklings								PHO		
4	BL0004	Group photo of Sources Staff	BL0004-SourcesStaff			1993		Group photo of Sources Staff			True	True				PHO		
5	BL0005	Dean Tudor	BL0005-DeanTudor			1993		Dean Tudor			True	True				PHO		
6	BL0006	Barrie and Jean Zwicker	BL0006-Barrie&JeanZwicker					Barrie and Jean Zwicker			True	True				PHO		
7	BL0007	Yvonne Hilder	BL0007-YvonneHilder			1995		Yvonne Hilder			True	True				PHO		
8	BL0008	Chris Sanderson				1995		Chris Sanderson			True	True				PHO		
9	BL0009	Larry Blitz				1995		Larry Blitz			True	True				PHO		
10	BL0010	Tim Drodge	BL0010-TimDrodge			1995		Tim Drodge			True	True				PHO		
11	BL0011	Kate MacDougall	BL0011-KateMacDougall			1995		Kate MacDougall			True	True				PHO		
12	BL0012	Tim Drodge				1995		Tim Drodge			True	True				PHO		
13	BL0013	Jemome Orlowski				1995		Jemome Orlowski			True	True				PHO		
14	BL0014	Morten Korsvold				1995		Morten Korsvold		False	True	True				PHO		
15	BL0015	Abbe Edelson	BL0015-AbbeEdelson			1995		Abbe Edelson			True	True				PHO		
16	BL0016	Mark Feldbauer	BL0016-MarkFeldlbauer			1995		Mark Feldbauer			True	True				PHO		
17	BL0017	Mark Douglas				1995		Mark Douglas			True	True				PHO		
18	BL0018	Bret Dawson	BL0018-BretDawson			1995		Bret Dawson			True	True				PHO		
19	BL0019	Gord Tanner with Tim & Jerome				1995		Gord Tanner with Tim & Jerome			True	True				PHO		
20	BL0020	Carolyn Beck				1995		Carolyn Beck			True	True				PHO		
21	BL0021	Carolyn Beck				1995		Carolyn Beck			True	True				PHO		
22	BL0022	Carolyn Beck				1995		Carolyn Beck			True	True				PHO		
23	BL0023	Greg Roberts	BL0023-Greg			1995		Greg Roberts			True	True				PHO		
24	BL0024	Anton Tabuns	BL0024-AntonTabuns					Anton Tabuns			True	True				PHO		
25	BL0025	Sources Staff Summer 2001	BL0025-SourcesStaff			2001		Sources Staff Summer 2001			True	True				PHO		
26	BL0026	Nick Marchese	BL0026-Nick			1995		Nick Marchese			True	True				PHO		
27	BL0027	L. E. Wakelin	BL0027-LEWakelin					L. E. Wakelin			True	True				PHO		
28	BL0028	Marnie Lucas-Zerbe	BL0028-Marnie			1997		Marnie Lucas-Zerbe			True	True				PHO		
29	BL0029	Yvonne Hilder	BL0029-Yvonne			1995		Yvonne Hilder			True	True				PHO		
30	BL0030	Unidentified Sources staffer						Unidentified Sources staffer			True	True				PHO		
31	BL0031	Mike McErlean and unidentified staffer				1994		Mike McErlean and unidentified staffer			True	True				PHO		
32	BL0032	Mike McErlean and unidentified staffer				1994		Mike McErlean and unidentified staffer			True	True				PHO		
33	BL0033	Mike McErlean				1994		Mike McErlean			True	True				PHO		
34	BL0034	Yvonne Hilder						Yvonne Hilder			True	True				PHO		
35	BL0035	Jerome Orlowski						Jerome Orlowski			True	True				PHO		
36	BL0036	Unidentified Sources staffer						Unidentified Sources staffer			True	True				PHO		
37	BL0037	Larry Blitz				1995		Larry Blitz			True	True				PHO		
38	BL0038	Mark Feldbauer				1995		Mark Feldbauer			True	True				PHO		
39	BL0039	Tim Drodge and Chris Sanderson's son						Tim Drodge and Chris Sanderson's son			True	True				PHO		
40	BL0040	Tim Drodge and Chris Sanderson's son						Tim Drodge and Chris Sanderson's son			True	True				PHO		
41	BL0041	Ulli Diemer	BL0041-UlliDiemer			1997		Ulli Diemer			True	True				PHO		
42	BL0042	Patricia Annechini	BL0042-Pat					Patricia Annechini			True	True				PHO		
43	BL0043	Morten Korsvold						Morten Korsvold			True	True				PHO		
44	BL0044	Morten Korsvold						Morten Korsvold			True	True				PHO		
45	BL0045	Morten Korsvold						Morten Korsvold			True	True				PHO		
46	BL0046	Morten Korsvold						Morten Korsvold			True	True				PHO		
47	BL0047	Morten Korsvold						Morten Korsvold			True	True				PHO		
48	BL0048	Melissa Teare						Melissa Teare			True	True				PHO		
49	BL0049	Melissa Teare						Melissa Teare			True	True				PHO		
50	BL0050	Unidentified Sources staffer						Unidentified Sources staffer			True	True				PHO		
51	BL0051	Kirsten Cowan	BL0051-Kirsten					Kirsten Cowan			True	True				PHO		
52	BL0052	Zena, Jean, Barrie, Gren Zwicker						Zena, Jean, Barrie, Gren Zwicker			True	True				PHO		
53	BL0053	Barrie Zwicker with Vision TV people						Barrie Zwicker with Vision TV people			True	True				PHO		
54	BL0054	Anti-censorship ad by Body Politic Free the Press Fund				1982	Canadian Dimension	Anti-censorship ad by Body Politic Free the Press Fund								PHO		
55	BL0055	Cabbagetown Cultural Festival			Diemer, Ulli			Cabbagetown Cultural Festival			True	True				PHO		
56	BL0056	Bank employees wearing flu masks	BL0056-FluMasks			1918	Glenbow Archives NA964-22	Bank employees wearing flu masks								PHO		
57	BL0057	Panel with Zwicker and Valpy	BL0057-BZetal			2001		Panel with Zwicker and Valpy			True	True				PHO		
58	BL0058	Barrie Zwicker, serious expression	BL0058-BZSerious			2001		Barrie Zwicker, serious expression			True	True				PHO		
59	BL0059	Barrie Zwicker, smiling	BL0059-BZSmiling			2001		Barrie Zwicker, smiling			True	True				PHO		
60	BL0060	German newsroom	BL0060-Newsroom			2005	Spiegel	German newsroom								PHO		
61	BL0061	Komishes Figurchen	BL0061-Figurchen		Scheffler, Angelika			Komishes Figurchen				True				PHO		
62	BL0062	White funny face	BL0062-Figurchen		Scheffler, Angelika			White funny face				True				PHO		
63	BL0063	Piggies with beer mugs	BL0063-BierSchweinchen		Scheffler, Angelika			Piggies with beer mugs				True				PHO		
64	BL0064	Piggies with beer mugs	BL0064-BierSchweinchen		Scheffler, Angelika			Piggies with beer mugs				True				PHO		
65	BL0065	Woman's head on display pole	BL0065-FrauenKopf		Scheffler, Angelika			Woman's head on display pole				True				PHO		
66	BL0066	Scuplted woman with grid background	BL0066-SitzendeFrau		Scheffler, Angelika			Scuplted woman with grid background				True				PHO		
67	BL0067	Sculpted woman with grid background	BL0067-SitzendeFrau		Scheffler, Angelika			Sculpted woman with grid background				True				PHO		
68	BL0068	Stack of newspapers	BL0068-Newspapers				Newscan brochure	Stack of newspapers								PHO		
69	BL0069	Computer	BL0069-Computer				Newscan brochure	Computer								PHO		
70	BL0070	Guy on bike with huge stack of newspapers	BL0070-BicycleNewspapers				Connexions Digest #54, P. 33	Guy on bike with huge stack of newspapers								PHO		
71	BL0071	Mark Lewiecki	BL0071-MarkLewiecki				Canadian Printer, April 2000, P. 42	Mark Lewiecki								PHO		
72	BL0072	White funny face			Scheffler, Angelika			White funny face				True				PHO		
73	BL0073	Schweinchen			Scheffler, Angelika			Schweinchen				True				PHO		
74	BL0074	Schweinchen			Scheffler, Angelika			Schweinchen				True				PHO		
75	BL0075	Schweinchen			Scheffler, Angelika			Schweinchen				True				PHO		
76	BL0076	Schweinchen			Scheffler, Angelika			Schweinchen				True				PHO		
77	BL0077	Schweinchen			Scheffler, Angelika			Schweinchen				True				PHO		
78	BL0078	Hat and face on display pole			Scheffler, Angelika			Hat and face on display pole				True				PHO		
79	BL0079	Purple hand reaching out to mannequin			Scheffler, Angelika			Purple hand reaching out to mannequin				True				PHO		
80	BL0080	Purple hand reaching out to mannequin			Scheffler, Angelika			Purple hand reaching out to mannequin				True				PHO		
81	BL0081	Monkey on banana			Scheffler, Angelika			Monkey on banana				True				PHO		
82	BL0082	Monkey on banana			Scheffler, Angelika			Monkey on banana				True				PHO		
83	BL0083	Monkey on banana			Scheffler, Angelika			Monkey on banana				True				PHO		
84	BL0084	Toronto Public Library Reading Room	BL0084-ReadingRoom			1920		Toronto Public Library Reading Room								PHO		
85	BL0085	Underwood typewriter, old phone, desk	BL0085-Underwood					Underwood typewriter, old phone, desk								PHO		
86	BL0086	ConvAirCar	BL0086-ConvAirCar			1947	National Georgraphic	ConvAirCar								PHO		
87	BL0087	National No-Smiling Day	BL0087-NoSmile				Guardian Weekly	National No-Smiling Day								PHO		
88	BL0088	Collection of globes	BL0088-Globes			2005	Das Parlament	Collection of globes								PHO		
89	BL0089	Protest against Adlai Stevenson	BL0089-StevensonProtest			1965	The University of Toronto - A History	Protest against Adlai Stevenson		True		True				PHO		
90	BL0090	Bissell addressing sit-in	BL0090-Bissell			1970	The University of Toronto - A History	Bissell addressing sit-in		True		True				PHO		
91	BL0091	Hamburg after 1943 bombing	BL0091-Hamburg1943			1943	Spiegel	Hamburg after 1943 bombing				True				PHO		
92	BL0092	Mother wearing gasmask pushing baby carriage	BL0092-Gasmask			1943	Spiegel	Mother wearing gasmask pushing baby carriage				True				PHO		
93	BL0093	Luftschutz	BL0093-Luftschutz			1939	Spiegel	Luftschutz				True				PHO		
94	BL0094	Kassel after bombing	BL0094-Kassel1943			1943	Spiegel	Kassel after bombing				True				PHO		
95	BL0095	Kassel after bombing	BL0095-Kassell1943			1943	Spiegel	Kassel after bombing				True				PHO		
96	BL0096	George Orwell's Journalist ID card	BL0096-OrwellNUJ				Cover of Volume 3 of Collected Works	George Orwell's Journalist ID card		True		True				PHO		
97	BL0097	Intersection with toppled Statin statue, Hungary 1956	BL0097-Hungary56Intersection			1956	Cry Hungary! Uprising 1956	Intersection with toppled Statin statue, Hungary 1956		True		True				PHO		
98	BL0098	Stalin's head from his toppled statue lying in the street, Hungary 1956	BL0098-StalinToppled			1956	Cry Hungary! Uprising 1956	Stalin's head from his toppled statue lying in the street, Hungary 1956		True		True				PHO		
99	BL0099	Racist anti-busing poster	BL0099-BusingPoster			1787	The Struggle for Democracy	Racist anti-busing poster		True		True				PHO		
100	BL0100	Mohandas Ghandi	BL0100-Ghandi				The Struggle for Democracy	Mohandas Ghandi		True		True				PHO		
101	BL0101	Johann Gutenberg	BL0101-Gutenberg				The Struggle for Democracy	Johann Gutenberg				True				PHO		
102	BL0102	Liberty - painting	BL0102-Liberty				The Struggle for Democracy	Liberty - painting		True		True				PHO		
103	BL0103	Karl Marx	BL0103-Marx				The Struggle for Democracy	Karl Marx		True		True				PHO		
104	BL0104	Meeting of Russian Mir	BL0104-Mir				The Struggle for Democracy	Meeting of Russian Mir		True		True				PHO		
105	BL0105	Bust of Pericles	BL0105-Pericles				The Struggle for Democracy	Bust of Pericles		True		True				PHO		
106	BL0106	Freedom marcher in Selma Alabama	BL0106-Selma			1965	The Struggle for Democracy	Freedom marcher in Selma Alabama		True		True				PHO		
107	BL0107	The Death of Socrates	BL0107-Socrates		David		The Struggle for Democracy	The Death of Socrates				True				PHO		
108	BL0108	St. Bartholome's Day Massacre	BL0108-StBart		Francois Dubois d'Amiens	1584	The Struggle for Democracy	St. Bartholome's Day Massacre		True		True				PHO		
109	BL0109	Fourth-Century vase showing a drinking party	BL0109-Vase				The Struggle for Democracy	Fourth-Century vase showing a drinking party				True				PHO		
110	BL0110	Recuiting poster for cowboys	BL0100-Wanted			1880	The Struggle for Democracy	Recuiting poster for cowboys				True				PHO		
111	BL0111	A.J. Casson	BL0111-AJCasson					A.J. Casson								PHO		
112	BL0112	Baboon	BL0112-Baboon1					Baboon								PHO		
113	BL0113	Bain Co-op	BL0113-Bainfront					Bain Co-op								PHO		
114	BL0114	BD Art	BL0114-BDArt15					BD Art								PHO		
115	BL0115	Bewegung	BL0115-Bewegung1					Bewegung								PHO		
