REFID	TITLE	SUBTITLE	AUTHORS	COVER	YEAR1STPUB
18	Graphic Arts Encyclopedia	3rd Edition	Stevenson, George A.; Pakan, William A.	BC18-GraphicArts.jpg	1968
87	Class Warfare	The Assault on Canada's School	Barlow, Maude; Robertson, Heather-Jane	BC87-ClassWarfare.jpg	1994
89	A Gentle Death		Seguin, Marilynne	BC89-GentleDeath.jpg	1994
303	Canadian Christian Sourcebook	The Essential Guide to Canada's Christian Ministries	Froom, Stephen C.	BC303s-ChristianSourcebook.jpg	1993
330	Canadian Internet Handbook	Revised 1996 Edition	Carroll, Jim; Broadhead, Rick	BC330s-CdnInternet1997.jpg	1995
337	The Canadian Left	A Critical Analysis	Penner, Norman	BC337s-PennerCanadianLeft.jpg	1977
361	Canadian Representatives Abroad			BC361-RepresentativesAbroad.jpg	1992
444	Creator Spirit Come		Goodman, Paul	BL0969-PaulGoodman.jpg	
447	Culture of Complaint	The Fraying of America	Hughes, Robert	BC447-CultureofComplaint.jpg	1993
462	Democracy's Oxygen	How Corporations Control the News	Winter, James	BC462-DemocracysOxygen.jpg	1997
469	Diplomatic, Consular and Other Representatives in Canada			BC469-Diplomatic.jpg	1993
495	Doc & Fluff	The Dystopian Tale of a Girl and Her Biker	Califia, Pat	BL0968-PatCalifia.jpg	1996
535	Europe Against the Current	A Guide to Alternative Independent and Radical Information Carriers		BC535s-EuropeAgainstCurrent.jpg	1989
553	The Fatal Woman	Three Tales	Glassco, John	BC553s-FatalWoman	1974
563	Finding Canadian Facts Fast	How to find and use information about almost anybody or anything quickly, cheaply and legally	Overbury, Stephen	BC563-FindCanadianFacts.jpg	1985
581	The Future in the Present		James, C.L.R.	BL0929-CLRJames.jpg	1980
588	Gazeteer of Canada; a Canadian PermanentCommittee on Geographical Names		Energy, Mines and Resources Canada.	BC588-Ontario.jpg	
655	The Illustrated History of Canada		Brown, Craig (ed.) and Cook, Ramsey; Moore, Christopher; Morton, Desmond; Ray, Arthur; Waite, Peter	BC655-IllustratedHistoryCA.jpg	1987
699	Introduction to Reference Work:  Vol. 1 Basic Information Sources		Katz, William A.	BC699-ReferenceBooks.jpg	1969
715	Kalendergeschichten		Brecht, Bertolt	BC715s-BrechtKalender.jpg	
